codigo_ibge,lat,lon
1503077,-1.936824,-47.046323
1503093,-3.838506,-49.099208
1503101,-1.406815,-51.647989
1503200,-1.127850,-47.624385
1503309,-1.972669,-48.962254
1503408,-1.430761,-47.910131
1503457,-2.554642,-47.495218
1503507,-1.771122,-47.437341
1503606,-4.277494,-55.987272
1503705,-5.134473,-49.328085
1503754,-6.222069,-57.756421
1503804,-4.447577,-49.112238
1503903,-2.158046,-56.094843
1504000,-1.894808,-49.381152
1504059,-2.054287,-47.545612
1504109,-0.794651,-47.598910
1504208,-5.347808,-49.098403
1504307,-0.762954,-47.456378
1504406,-0.716340,-47.699311
1504422,-1.364607,-48.336780
1504455,-3.446462,-52.889461
1504505,-1.807170,-50.712919
1504604,-2.581944,-49.510199
1504703,-1.884401,-48.767881
1504752,-2.682130,-54.641800
1504802,-2.005150,-54.067750
1504901,-1.528978,-49.217625
1504950,-2.270895,-46.967087
1504976,-4.911296,-49.074035
1505007,-1.205958,-47.387712
1505031,-7.038200,-55.406800
1505064,-4.248457,-49.951388
1505106,-1.916634,-55.515787
1505205,-2.003629,-49.854625
1505304,-1.769671,-55.866413
1505403,-1.550806,-47.113875
1505437,-6.754273,-51.067230
1505486,-3.830312,-50.640563
1505494,-5.747546,-48.316455
1505502,-2.999993,-47.355390
1505536,-6.071322,-49.888482
1505551,-7.830414,-50.040178
1505601,-1.193519,-47.316888
1505635,-6.443094,-48.862828
1505650,-3.864075,-54.215986
1505700,-1.393845,-48.871151
1505809,-1.939115,-50.823834
1505908,-1.754134,-52.239664
1506005,-1.807325,-53.480637
1506104,-0.940259,-47.117196
1506112,-0.898747,-47.005039
1506138,-8.036208,-50.035731
1506161,-7.314425,-50.046624
1506187,-4.778972,-48.066829
1506195,-4.097343,-54.907852
1506203,-0.614511,-47.356491
1506302,-0.755386,-48.514858
1506351,-1.228525,-48.291811
1506401,-0.664434,-49.171529
1506500,-1.298767,-48.164852
1506559,-1.524744,-46.897994
1506583,-8.871095,-49.716267
1506609,-1.349746,-47.575694
1506708,-9.339452,-50.337025
1506807,-2.438470,-54.715686
1506906,-0.928662,-47.398927
1507003,-1.152083,-48.129844
1507102,-0.747461,-48.019830
1507151,-5.540856,-48.730419
1507201,-1.674690,-47.775221
1507300,-6.642388,-51.994274
1507409,-1.169723,-47.797290
1507458,-6.387378,-48.561071
1507466,-0.848939,-47.922568
1507474,-0.768788,-47.174183
1507508,-5.355522,-48.788891
1507607,-1.624478,-47.485019
1507706,-1.718400,-49.532600
1507755,-6.942909,-49.699652
1507805,-2.591485,-51.954815
1507904,-0.729265,-48.520682
1507953,-2.946354,-48.953269
1507961,-1.039162,-47.907392
1507979,-2.110676,-56.491680
1508001,-2.420795,-48.151017
1508035,-1.074503,-46.903218
1508050,-4.703925,-55.996445
1508084,-6.753193,-51.155195
1508100,-3.766161,-49.670175
1508126,-3.745155,-47.498793
1508159,-3.723523,-53.734500
1508209,-0.852358,-48.144813
1508308,-1.208600,-46.137400
1508357,-2.882624,-52.013085
1508407,-7.104553,-49.946210
1600055,0.901234,-52.002592
1600105,2.050230,-50.791659
1600154,0.777461,-51.952512
1600204,2.492762,-50.950490
1600212,0.972366,-50.799587
1600238,0.860349,-51.180674
1600253,0.603189,-50.698934
1600279,-0.841266,-52.520238
1600303,0.040741,-51.057374
1600402,-0.115933,-51.283959
1600501,3.846965,-51.837100
1600535,0.705403,-51.409355
1600550,1.746173,-50.783302
1600600,-0.030767,-51.178037
1600709,1.506040,-50.910408
1600808,-0.928898,-52.428353
1700251,-9.624130,-49.154178
1700301,-6.556836,-47.479181
1700350,-11.305460,-48.939647
1700400,-11.569730,-47.167124
1700707,-12.480100,-49.125400
1701002,-6.374096,-48.070240
1701051,-6.387172,-47.866822
1701101,-9.953101,-47.975515
1701309,-7.166556,-48.525702
1701903,-8.806286,-49.557041
1702000,-12.931771,-49.827717
1702109,-7.189800,-48.209900
1702158,-6.572533,-48.640604
1702208,-5.649300,-48.123100
1702307,-7.657757,-49.064376
1702406,-12.929743,-46.943636
1702554,-5.468614,-47.883668
1702703,-12.714458,-46.408906
1702901,-5.617267,-47.771371
1703008,-7.202844,-47.759520
1703057,-7.762318,-48.576720
1703073,-7.712816,-47.674655
1703107,-9.834700,-48.724000
1703206,-7.879000,-48.892700
1703305,-8.965600,-48.163800
1703602,-8.389500,-48.482800
1703701,-11.013409,-48.564801
1703800,-5.316500,-48.226300
1703826,-6.114900,-47.917500
1703842,-7.968300,-46.805400
1703867,-11.889825,-49.161449
1703883,-7.035545,-48.396231
1703891,-5.321200,-48.036300
1703909,-9.273745,-49.960121
1704105,-8.957300,-47.334900
1704600,-10.142317,-49.178778
1705102,-11.616883,-47.752133
1705508,-8.055800,-48.483500
1705557,-12.817860,-46.548836
1705607,-12.218859,-47.296993
1706001,-8.360100,-49.178900
1706100,-10.602111,-49.191886
1706258,-11.104900,-48.919000
1706506,-6.708791,-47.753868
1707009,-11.626001,-46.820431
1707108,-9.800119,-49.211432
1707207,-9.254714,-49.065460
1707306,-11.342954,-49.269085
1707405,-5.365300,-48.539000
1707553,-10.764541,-48.903823
1707652,-12.141800,-49.170100
1707702,-7.337006,-47.489279
1708205,-11.801400,-49.529400
1708254,-9.057555,-48.520155
1708304,-8.777695,-48.933198
1709005,-7.708901,-47.314909
1709302,-8.836600,-48.511000
1709500,-11.727080,-49.063212
1709807,-11.240200,-48.444400
1710508,-8.393124,-47.769667
1710706,-5.771308,-47.480567
1710904,-8.389441,-48.101224
1711100,-8.572801,-48.690001
1711506,-12.651687,-48.594159
1711803,-8.118940,-49.099305
1711902,-10.789655,-49.621209
1711951,-10.296374,-47.562430
1712009,-9.752889,-48.356916
1712157,-12.790390,-46.507248
1712405,-9.596003,-46.675168
1712454,-6.190300,-47.858100
1712504,-9.799223,-49.656219
1712702,-10.546000,-46.418200
1712801,-5.952634,-47.508882
1713205,-9.574420,-48.394646
1713304,-9.523390,-48.589849
1713601,-10.763600,-48.110200
1713700,-10.009549,-48.991411
1713809,-6.610211,-47.546611
1713957,-7.149600,-48.605290
1714203,-11.710059,-47.724491
1714302,-6.374475,-47.662285
1714880,-7.633682,-48.421978
1715002,-10.568300,-48.911600
1715101,-9.963839,-47.675624
1715150,-12.915200,-46.574200
1715259,-11.822851,-46.628604
1715507,-10.709224,-48.911855
1715705,-7.858000,-47.925300
1715754,-13.042172,-48.409452
1716109,-10.176728,-48.881131
1716208,-12.614679,-47.882105
1716307,-7.540169,-49.371301
1716505,-8.972326,-48.170002
1716604,-12.032835,-48.539395
1716653,-8.593479,-48.933732
1716703,-8.729686,-48.761283
1717008,-11.138200,-47.577600
1717206,-6.765565,-48.294843
1717503,-10.443214,-49.179719
1717800,-12.091956,-46.479064
1717909,-10.746500,-47.538800
1718006,-11.609814,-47.048412
1718204,-10.707760,-48.411914
1718303,-5.395400,-47.810700
1718402,-8.529651,-48.506789
1718451,-10.427300,-48.895900
1718501,-8.735978,-47.242325
1718550,-6.443083,-48.139192
1718659,-11.400545,-46.884651
1718709,-9.344644,-48.535055
1718758,-9.344818,-47.901034
1718808,-5.352428,-47.878062
1718840,-12.540805,-49.929215
1718865,-7.148942,-48.690813
